organization_user_name,organization_namespace_url,organization_website,location_country,form_of_organization
bcgov,https://github.com/bcgov,https://github.com/bcgov/BC-Policy-Framework-For-GitHub,Canada,government agency
FixMyBerlin,https://github.com/FixMyBerlin,https://www.fixmycity.de/,,
WSWUP,https://github.com/WSWUP,https://www.dri.edu/western-states-water-use-program,USA,government agency
google-research,https://github.com/google-research,https://research.google,USA,for-profit
Orion-AI-Lab,https://github.com/Orion-AI-Lab,http://orionlab.space.noa.gr/,Greece,government agency
nychealth,https://github.com/nychealth,http://www.nyc.gov/health,,
ioos,https://github.com/ioos,http://ioos.github.io,,
cozy,https://github.com/cozy,https://cozy.io,,
CEA-Liten,https://github.com/CEA-Liten,https://liten.cea.fr/cea-tech/liten/english/Pages/Welcome.aspx,,
ISSMteam,https://github.com/ISSMteam,https://issm.jpl.nasa.gov,,
ProjectDrawdown,https://github.com/ProjectDrawdown,https://drawdown.org/,USA,non-profit
iiasa,https://github.com/iiasa,https://www.iiasa.ac.at,Austria,academia
openclimatefix,https://github.com/openclimatefix,http://openclimatefix.org,UK,non-profit
columncolab,https://github.com/columncolab,https://columncolab.github.io/EMC2/,Global,community
technologiestiftung,https://github.com/technologiestiftung,https://www.technologiestiftung-berlin.de,Germany,non-profit
kausaltech,https://github.com/kausaltech,https://kausal.tech,,
incubateur-ademe,https://github.com/incubateur-ademe,http://incubateur-ademe.beta.gouv.fr,,
APSIMInitiative,https://github.com/APSIMInitiative,,Australia,government agency
SEED-platform,https://github.com/SEED-platform,http://energy.gov/eere/buildings/standard-energy-efficiency-data-platform,USA,government agency
FAIR-Chem,https://github.com/FAIR-Chem,,,
dynawo,https://github.com/dynawo,,,
NOAA-GFDL,https://github.com/NOAA-GFDL,http://www.gfdl.noaa.gov,USA,government agency
opengeos,https://github.com/opengeos,https://opengeos.github.io,Global,community
awslabs,https://github.com/awslabs,http://amazon.com/aws/,,
geco-bern,https://github.com/geco-bern,http://geco-group.org,,
ARM-DOE,https://github.com/ARM-DOE,https://www.arm.gov/,USA,government agency
project-pareto,https://github.com/project-pareto,,,
cal-adapt,https://github.com/cal-adapt,https://cal-adapt.org,,
eurec4a,https://github.com/eurec4a,,,
teikei,https://github.com/teikei,http://ernte-teilen.org,,
tobac-project,https://github.com/tobac-project,,,
AgriculturalModelExchangeInitiative,https://github.com/AgriculturalModelExchangeInitiative,,,
genai-impact,https://github.com/genai-impact,,,
FoodOntology,https://github.com/FoodOntology,http://foodon.org,,
USDA-ARS-ACSL,https://github.com/USDA-ARS-ACSL,https://www.ars.usda.gov/nea/barc/acsl,,
precision-sustainable-ag,https://github.com/precision-sustainable-ag,http://www.precisionsustainableag.org,,
cropbox,https://github.com/cropbox,,,
Open-Agriculture,https://github.com/Open-Agriculture,,,
Energinet-DataHub,https://github.com/Energinet-DataHub,https://energinet.dk/,,
OPERA-Cal-Val,https://github.com/OPERA-Cal-Val,,,
ICTP,https://github.com/ICTP,http://www.ictp.it,,
NCAR,https://github.com/NCAR,http://ncar.ucar.edu,USA,government agency
CABLE-LSM,https://github.com/CABLE-LSM,,,
environmental-modeling-workflows,https://github.com/environmental-modeling-workflows,,,
Open-Sustainability-Index,https://github.com/Open-Sustainability-Index,http://opensustainabilityindex.org,,
secondlaw-ai,https://github.com/secondlaw-ai,,,
r-lidar,https://github.com/r-lidar,https://github.com/r-lidar,Global,community
reagro,https://github.com/reagro,,,
emf-creaf,https://github.com/emf-creaf,https://emf.creaf.cat/,,
GeoscienceAustralia,https://github.com/GeoscienceAustralia,http://www.ga.gov.au/,Australia,government agency
foodsharing-dev,https://gitlab.com/foodsharing-dev,,,
gmlc-dispatches,https://github.com/gmlc-dispatches,,,
WildMeOrg,https://github.com/WildMeOrg,https://wildme.org,USA,non-profit
iClimate,https://github.com/iClimate,,,
adcirc,https://github.com/adcirc,http://www.adcirc.org,,
Ingenjorsarbete-For-Klimatet,https://github.com/Ingenjorsarbete-For-Klimatet,https://www.ingenjorsarbeteforklimatet.se,,
openenergymonitor,https://github.com/openenergymonitor,https://openenergymonitor.org,UK,community
environmentalinformatics-marburg,https://github.com/environmentalinformatics-marburg,http://www.environmentalinformatics-marburg.de,,
fernlab,https://git.gfz-potsdam.de/fernlab,,,
EnMAP,https://git.gfz-potsdam.de/EnMAP,,,
CryoInTheCloud,https://github.com/CryoInTheCloud,,,
WildlifeDatasets,https://github.com/WildlifeDatasets,,,
censusdis,https://github.com/censusdis,,,
ecmwf-projects,https://github.com/ecmwf-projects,http://www.ecmwf.int,UK,government agency
Hydrology-IFH,https://github.com/Hydrology-IFH,http://www.hydro.uni-freiburg.de/,,
umd-cgs,https://github.com/umd-cgs,,,
storm-fsv-cvut,https://github.com/storm-fsv-cvut,http://storm.fsv.cvut.cz/?lang=en,,
NCC-CNC,https://github.com/NCC-CNC,,,
pbs-assess,https://github.com/pbs-assess,,Global,community
ROVI-org,https://github.com/ROVI-org,,,
mllam,https://github.com/mllam,,,
LibreSolar,https://github.com/LibreSolar,https://libre.solar,Germany,community
tetratech,https://github.com/tetratech,,,
SchmidtDSE,https://github.com/SchmidtDSE,https://dse.berkeley.edu/,USA,academia
xoceanmodel,https://github.com/xoceanmodel,,,
CLIMAAX,https://github.com/CLIMAAX,,,
ESCOMP,https://github.com/ESCOMP,https://escomp.github.io/,Global,collaboration
Smithsonian,https://github.com/Smithsonian,https://si.edu/,,
gbif,https://github.com/gbif,https://www.gbif.org,Global,collaboration
carboniferio,https://github.com/carboniferio,https://carbonifer.io/,,
UMR-CNRM,https://github.com/UMR-CNRM,http://www.umr-cnrm.fr,,
funecology,https://github.com/funecology,,,
osdg-ai,https://github.com/osdg-ai,https://osdg.ai,Global,academia
google,https://github.com/google,https://opensource.google/,USA,for-profit
podaac,https://github.com/podaac,http://podaac.jpl.nasa.gov,,
opendcs,https://github.com/opendcs,,,
it-is-me-mario,https://github.com/it-is-me-mario,https://mario-suite.readthedocs.io/en/latest/index.html,,
